,ticker,entry_date,exit_date,entry_price,exit_price,pnl,return_pct,reason,days_held
0,UHS,2024-10-10,2024-10-16,211.8144989013672,235.692138671875,501.43043518066406,0.11272901474807252,Target 8%,6
1,AMT,2024-10-10,2024-10-22,210.68873596191406,212.33249053680015,34.51884607260786,0.007801815162929393,Stop Loss,12
2,ERIE,2024-10-22,2024-10-25,461.39276123046875,434.33520738623565,-216.46043075386478,-0.058643212719840805,Stop Loss,3
3,MDLZ,2024-10-11,2024-10-30,68.58122253417969,66.30035395669958,-148.2564575362069,-0.03325791657247523,Stop Loss,19
4,FSLR,2024-10-16,2024-10-30,205.6199951171875,185.49427577427454,-261.63435145786843,-0.09787822109149868,Stop Loss,14
5,CPB,2024-10-10,2024-11-01,45.78717803955078,44.32834595416011,-142.96554436828546,-0.031861148641450114,Stop Loss,22
6,KVUE,2024-10-10,2024-11-04,20.29397201538086,21.931196212768555,361.82654762268066,0.08067539445441427,Target 8%,25
7,DRI,2024-10-11,2024-11-04,152.1116485595703,153.63276504516602,44.112378082275654,0.01000000000000006,Stop Loss,24
8,GIS,2024-10-25,2024-11-06,65.31184387207031,63.62253565875533,-103.0478010122138,-0.025865265978769727,Stop Loss,12
9,MTD,2024-10-22,2024-11-08,1351.780029296875,1342.8299560546875,-17.900146484375,-0.006620953889104914,Stop Loss,17
10,BR,2024-11-04,2024-11-12,205.60475158691406,222.49327087402344,253.32778930664062,0.08214070519654403,Target 8%,8
11,IBM,2024-10-30,2024-11-15,198.1773681640625,200.15914184570312,33.69015258789051,0.009999999999999966,Stop Loss,16
12,EFX,2024-11-04,2024-11-15,262.2042541503906,250.67499454264723,-126.82185568517738,-0.04397052841534235,Stop Loss,11
13,KO,2024-11-08,2024-11-15,61.620826721191406,59.44900174880371,-149.85592309475106,-0.035244982710379735,Stop Loss,7
14,CEG,2024-11-15,2024-11-21,223.0304718017578,250.4369354248047,246.65817260742188,0.12288214880075804,Target 8%,6
15,APD,2024-11-06,2024-11-22,299.1087646484375,323.5850524902344,318.1917419433594,0.08183072759691776,Target 8%,16
16,MAA,2024-10-10,2024-11-26,144.67825317382812,156.58616638183594,369.1453094482422,0.08230617212180938,Target 8%,47
17,LVS,2024-11-15,2024-11-29,46.95295333862305,51.94586944580078,319.546630859375,0.10633870187395879,Target 8%,14
18,ED,2024-11-15,2024-12-04,93.22286224365234,93.28085101779611,1.855640772600509,0.0006220445580420315,Stop Loss,19
19,ERIE,2024-11-01,2024-12-06,408.9514465332031,413.0409609985352,32.71611572265647,0.010000000000000066,Stop Loss,35
20,COO,2024-11-21,2024-12-06,99.91000366210938,99.38999938964844,-22.360183715820312,-0.005204726788115892,Stop Loss,15
21,AVGO,2024-11-26,2024-12-06,162.8284149169922,177.44679260253906,365.4594421386719,0.089777805016398,Target 8%,10
22,KMB,2024-11-04,2024-12-09,127.34526824951172,128.61872093200682,30.562864379882512,0.009999999999999901,Stop Loss,35
23,CHRW,2024-12-06,2024-12-12,103.16606903076172,111.61076354980469,236.45144653320312,0.08185534835610493,Target 8%,6
24,VLTO,2024-11-01,2024-12-17,101.14790344238281,102.15938247680664,38.43620330810549,0.010000000000000005,Stop Loss,46
25,IT,2024-11-29,2024-12-17,517.9299926757812,499.40427943638394,-148.20570591517844,-0.035768759294451995,Stop Loss,18
26,EOG,2024-12-09,2024-12-17,123.57646942138672,118.41910975041249,-180.50758848409805,-0.04173415614738119,Stop Loss,8
27,FIS,2024-12-09,2024-12-18,81.91832733154297,79.02013586049053,-150.705956494727,-0.03537903623596673,Stop Loss,9
28,FAST,2024-12-17,2024-12-18,38.01244354248047,36.941622297196204,-81.3824146416041,-0.028170281768063073,Stop Loss,1
29,MTB,2024-12-17,2024-12-18,190.3779296875,182.23142617766877,-122.19755264746851,-0.04279121809551921,Stop Loss,1
30,TXN,2024-12-09,2024-12-19,187.36676025390625,178.51417559698444,-203.60944710920154,-0.047247359376473216,Stop Loss,10
31,GWW,2024-12-17,2024-12-19,1110.36865234375,1077.7620175659847,-65.21326955553059,-0.02936559376828559,Stop Loss,2
32,NSC,2024-12-17,2024-12-19,237.39474487304688,227.30335694778458,-121.09665510314755,-0.0425088934915511,Stop Loss,2
33,JKHY,2024-11-15,2024-12-23,170.37344360351562,172.07717803955077,28.96348541259752,0.009999999999999953,Stop Loss,38
34,FAST,2024-12-18,2024-12-30,36.548545837402344,35.32245176886566,-105.44408989415464,-0.03354700003637205,Stop Loss,12
35,KVUE,2024-12-12,2025-01-02,21.431617736816406,20.322589286950116,-224.02374687299064,-0.05174730454253766,Stop Loss,21
36,GWW,2024-12-19,2025-01-02,1071.95263671875,1035.1195432700413,-110.49928034612617,-0.03436074709555725,Stop Loss,14
37,ITW,2024-12-20,2025-01-03,252.61849975585938,244.31520378722158,-149.45932743548036,-0.032868914892070195,Stop Loss,14
38,DOV,2024-12-18,2025-01-10,186.7147979736328,180.82376396142396,-100.14757820755042,-0.03155097547780203,Stop Loss,23
39,EA,2024-12-23,2025-01-10,146.59808349609375,140.76032039450888,-163.45736684437634,-0.03982155129429384,Stop Loss,18
40,ITW,2025-01-03,2025-01-10,247.70301818847656,239.521540490197,-122.72216547419347,-0.033029382355181075,Stop Loss,7
41,LNT,2024-12-18,2025-01-13,56.30931091308594,54.605023876170996,-95.44007406723671,-0.030266522698981838,Stop Loss,26
42,PNC,2024-12-19,2025-01-16,183.24732971191406,180.35347454998643,-49.19553775276975,-0.015792072749311582,Stop Loss,28
43,PANW,2025-01-10,2025-01-22,173.4199981689453,187.6999969482422,228.47998046875,0.08234343749320847,Target 8%,12
44,EPAM,2025-01-13,2025-01-23,225.82000732421875,245.3000030517578,331.15992736816406,0.08626337390721478,Target 8%,10
45,KIM,2025-01-10,2025-01-27,20.651578903198242,22.339170455932617,232.88763427734375,0.08171731375333356,Target 8%,17
46,CRM,2025-01-10,2025-01-27,315.7884216308594,344.8487243652344,261.542724609375,0.09202459857234734,Target 8%,17
